age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,outcome
30,Private,13,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,40,0
51,Federal-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,1
42,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,1
77,Self-emp-inc,16,Married-civ-spouse,Farming-fishing,Husband,White,Male,20051,0,40,1
25,Private,13,Never-married,Prof-specialty,Own-child,White,Female,0,2339,35,0
40,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,0
32,Private,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,0
31,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,1
21,Private,11,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,30,0
39,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,1
44,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,60,1
41,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,45,1
49,Private,7,Never-married,Other-service,Not-in-family,White,Male,0,0,60,0
42,Local-gov,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,1
49,Private,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,0
26,State-gov,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,1
17,Private,7,Never-married,Sales,Own-child,White,Female,0,0,15,0
50,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,0
50,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,1
59,Federal-gov,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,0
68,Self-emp-inc,11,Widowed,Sales,Not-in-family,White,Female,25124,0,50,1
28,Private,9,Never-married,Other-service,Not-in-family,White,Male,0,0,32,0
62,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,1
48,Private,10,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,0,0,40,1
38,Private,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,1
40,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,55,0
28,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,42,0
33,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
47,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,1
44,State-gov,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,15,0
25,Local-gov,9,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,40,0
32,State-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,49,1
29,Private,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,0
37,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,1
37,Local-gov,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,1
40,Private,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,0
19,Private,9,Never-married,Other-service,Own-child,White,Female,0,0,52,0
44,Local-gov,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,36,1
55,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,1
46,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,1
62,Local-gov,4,Widowed,Other-service,Not-in-family,Black,Female,0,0,35,0
55,Private,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,0
72,Federal-gov,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,1
46,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,4386,0,40,1
42,Private,9,Married-civ-spouse,Sales,Husband,White,Male,5178,0,50,1
21,Private,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,0
20,Private,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,25,0
45,Private,14,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,0
39,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
63,Private,9,Divorced,Sales,Not-in-family,White,Female,0,0,40,0
36,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,0
52,Private,13,Separated,Exec-managerial,Unmarried,White,Female,0,0,40,0
61,,13,Married-civ-spouse,,Husband,White,Male,0,0,40,1
34,Private,10,Separated,Other-service,Unmarried,Black,Female,0,0,37,0
26,Private,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,35,0
71,Private,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,1
38,Private,10,Never-married,Adm-clerical,Unmarried,White,Female,6497,0,35,0
55,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,24,1
32,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,45,1
37,Private,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,7688,0,40,1
33,Private,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,45,1
24,Private,4,Never-married,Priv-house-serv,Own-child,White,Female,0,0,32,0
44,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,1
38,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,1
37,State-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,1
46,Local-gov,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,1876,60,0
36,,10,Never-married,,Not-in-family,White,Male,0,0,30,0
17,Private,6,Never-married,Sales,Own-child,White,Male,0,0,15,0
54,State-gov,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,1
30,Private,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,0
26,Private,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,1
30,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,3103,0,70,1
20,Private,9,Married-civ-spouse,Tech-support,Other-relative,White,Male,0,0,40,0
36,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,0
20,Private,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,0
31,State-gov,8,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,1
50,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,52,1
27,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,0
39,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,1
56,Private,6,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,0,30,1
38,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,45,1
39,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,15024,0,40,1
58,,10,Married-civ-spouse,,Husband,White,Male,0,0,40,1
59,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,0
32,Self-emp-not-inc,10,Divorced,Other-service,Not-in-family,White,Female,0,0,35,0
37,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,1
44,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,45,1
33,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,1
33,Self-emp-not-inc,10,Married-civ-spouse,Sales,Husband,White,Male,0,1740,50,0
44,Self-emp-inc,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,0
29,Private,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,35,0
50,Federal-gov,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,0
22,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,0
57,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,1
59,Private,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,1
40,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,48,0
25,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,1
42,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,0
46,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,1
51,Private,6,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,0
55,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,1
40,Private,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,35,1
60,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7688,0,40,1
28,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,1
27,Private,9,Never-married,Other-service,Not-in-family,White,Female,0,0,42,0
26,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,1
36,Private,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,15,0
47,Federal-gov,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,0
55,,9,Separated,,Not-in-family,Black,Female,0,2001,40,0
38,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,0
79,,14,Married-civ-spouse,,Husband,White,Male,20051,0,40,1
46,Local-gov,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,1
60,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,1
44,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,1
41,State-gov,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,0
29,Private,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,1
71,Federal-gov,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,20051,0,40,1
37,Self-emp-not-inc,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,1
51,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,1
22,State-gov,8,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,1
30,Private,9,Never-married,Other-service,Own-child,White,Male,0,0,10,0
44,Local-gov,13,Divorced,Prof-specialty,Own-child,White,Female,0,0,60,0
23,Private,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,25,0
44,Local-gov,13,Married-civ-spouse,Protective-serv,Wife,Black,Female,15024,0,40,1
50,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,1
48,Private,13,Never-married,Other-service,Not-in-family,White,Male,0,0,50,1
52,Self-emp-not-inc,9,Married-civ-spouse,Sales,Husband,White,Male,7688,0,55,1
49,Self-emp-inc,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,56,1
23,Private,9,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,0
29,Private,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,0
50,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,0
28,Self-emp-inc,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,65,1
36,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,1
33,Private,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,35,0
29,Private,9,Married-civ-spouse,Other-service,Own-child,Asian-Pac-Islander,Male,0,0,25,0
49,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,1
31,Private,12,Divorced,Sales,Unmarried,White,Female,0,880,45,0
28,Private,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,0
60,Self-emp-not-inc,9,Married-civ-spouse,Transport-moving,Husband,White,Male,3103,0,60,1
26,Private,7,Separated,Other-service,Unmarried,White,Female,0,0,20,0
23,Private,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,25,0
30,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,1
43,Private,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,1
57,Local-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,99999,0,40,1
45,Local-gov,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,1
50,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3137,0,47,0
43,Private,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,42,0
53,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,1
40,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,1
59,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,1
25,Private,9,Never-married,Transport-moving,Other-relative,White,Male,0,0,40,0
52,Federal-gov,12,Married-civ-spouse,Other-service,Husband,White,Male,7298,0,40,1
64,Federal-gov,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,0
44,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,1
22,Private,10,Never-married,Transport-moving,Own-child,White,Male,0,1719,30,0
58,Self-emp-inc,11,Divorced,Sales,Not-in-family,White,Male,2202,0,56,0
20,Self-emp-not-inc,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,10,0
47,,11,Married-civ-spouse,,Husband,White,Male,0,0,40,1
30,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,15024,0,40,1
40,Local-gov,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,1
36,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,1
42,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,5013,0,40,0
59,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,1
61,Private,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,30,0
69,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,1848,0,40,0
68,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,10,1
60,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,1
34,Private,13,Never-married,Other-service,Not-in-family,White,Male,0,0,40,0
40,Private,13,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,0
37,Private,10,Widowed,Other-service,Not-in-family,White,Female,2354,0,40,0
50,Local-gov,14,Divorced,Prof-specialty,Not-in-family,Black,Female,2202,0,30,0
27,Private,3,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,0
30,Private,9,Married-civ-spouse,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,0,0,40,0
19,Private,10,Never-married,Craft-repair,Own-child,White,Male,594,0,40,0
46,Self-emp-not-inc,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,75,0
53,Federal-gov,10,Widowed,Adm-clerical,Not-in-family,Black,Female,0,0,40,0
60,Private,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
31,Private,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,50,1
54,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,1
31,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,0
17,Private,7,Never-married,Sales,Own-child,White,Female,0,0,15,0
36,Private,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,1
34,Private,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,1
49,Private,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,0
23,Private,10,Never-married,Adm-clerical,Own-child,White,Male,1055,0,20,0
60,Local-gov,10,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,60,0
57,,10,Divorced,,Not-in-family,White,Female,0,0,40,0
47,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,15024,0,50,1
41,Private,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,1
51,Private,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,0
34,Private,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,0
35,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,1
21,Private,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,8,0
53,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,1
37,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,1669,55,0
41,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,50,1
39,Private,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,0
24,,13,Never-married,,Own-child,White,Male,0,0,40,0
27,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,42,1
52,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,1
46,Private,12,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,0
37,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,1
26,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,70,0
76,,10,Married-civ-spouse,,Husband,White,Male,0,0,20,1
24,Private,10,Never-married,Sales,Own-child,White,Female,0,0,40,0
43,State-gov,10,Divorced,Adm-clerical,Not-in-family,Black,Male,0,0,50,1
44,Local-gov,9,Divorced,Transport-moving,Own-child,White,Male,0,0,25,0
28,Private,13,Divorced,Other-service,Unmarried,White,Female,0,0,48,1
35,Self-emp-not-inc,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,36,0
54,Private,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,1
59,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,1
36,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,80,1
47,State-gov,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,0
49,Local-gov,14,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,1
39,Local-gov,13,Separated,Prof-specialty,Not-in-family,Black,Male,0,0,30,0
22,Private,9,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,0
49,Private,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,45,0
29,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,0
39,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,1
